Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
10/Asc/SamSort,3.650467667717153e-7,3.587168388121616e-7,3.720517981040356e-7,1.4171559029453678e-8,1.1731758130784217e-8,1.8145470318904042e-8
10/Asc/vector-algorithms Intro,3.894561332525558e-7,3.8411291053658175e-7,3.949129125230139e-7,1.1807039962718463e-8,9.501615121796615e-9,1.6370637877863307e-8
10/Asc/vector-algorithms Merge,3.855139626651754e-7,3.791365003908827e-7,3.9094525442791213e-7,1.294053139364066e-8,1.0560307103634751e-8,1.7227383442144927e-8
10/Asc/vector-algorithms Tim,3.711851716344466e-7,3.6581457419838887e-7,3.7967479019717193e-7,1.4853227041524924e-8,1.1688481484930002e-8,1.925794353944655e-8
10/Desc/SamSort,3.7614087302556533e-7,3.699960365469797e-7,3.8238449568317306e-7,1.3774663580516614e-8,1.176097061897266e-8,1.6554133323562274e-8
10/Desc/vector-algorithms Intro,5.155741343654286e-7,5.101131466303598e-7,5.207277899997607e-7,1.0912099249951247e-8,8.4006465295033e-9,1.4112333307313454e-8
10/Desc/vector-algorithms Merge,5.059660409633365e-7,4.999108024223305e-7,5.106569992046917e-7,1.1845040539322362e-8,9.701498842276199e-9,1.434032198336375e-8
10/Desc/vector-algorithms Tim,4.019435912555239e-7,3.9660492264317245e-7,4.0783274876757663e-7,1.1353525398914045e-8,8.629572759275473e-9,1.5711754275465014e-8
10/UpDownAsc/SamSort,4.1180627786501697e-7,4.062304920494694e-7,4.18171139922278e-7,1.3119735555484578e-8,1.085264254156199e-8,1.6364202092417384e-8
10/UpDownAsc/vector-algorithms Intro,4.005006917883592e-7,3.95054827910585e-7,4.0473903573398995e-7,1.0358844769103251e-8,8.040882384384249e-9,1.40426699265946e-8
10/UpDownAsc/vector-algorithms Merge,3.9126997712982326e-7,3.861360071721077e-7,3.9533603416555704e-7,1.0855179609062698e-8,9.149149444950393e-9,1.3584101500247848e-8
10/UpDownAsc/vector-algorithms Tim,4.1753449420034675e-7,4.1321591131636133e-7,4.229490525172592e-7,1.1090111297077145e-8,8.614982812731899e-9,1.3785220576263412e-8
10/UpDownDesc/SamSort,4.991901997068669e-7,4.913366209156659e-7,5.063224085304044e-7,1.6584179665248466e-8,1.3239966468799956e-8,1.9514351722983385e-8
10/UpDownDesc/vector-algorithms Intro,5.034361843341796e-7,4.987803051240365e-7,5.077901802257275e-7,1.0373993490210331e-8,7.830456456670358e-9,1.4374479180653078e-8
10/UpDownDesc/vector-algorithms Merge,5.012935987268617e-7,4.954545836718721e-7,5.069814767653971e-7,1.2346290906313e-8,1.0343786380572007e-8,1.572887459956276e-8
10/UpDownDesc/vector-algorithms Tim,5.296527413825029e-7,5.240303383458949e-7,5.396743084963167e-7,1.567768287799055e-8,1.1108361003664015e-8,2.36160660429131e-8
10/BigRand/SamSort,4.219632433287191e-7,4.189843892172453e-7,4.2484546731791975e-7,6.4336475229074e-9,5.469711751023334e-9,7.83088249063701e-9
